id,name,country_id,age,position,diving,handling,kicking,reflexes,speed,positioning
3301,Brice Samba,33,31,GK,82,80,78,83,60,81
3316,Mike Maignan,33,29,GK,85,82,80,89,62,84
3323,Robin Risser,33,20,GK,74,70,68,76,44,72
3401,Yehvann Diouf,34,24,GK,78,74,72,79,48,75
3416,Édouard Mendy,34,34,GK,81,78,73,83,52,79
3423,Mory Diaw,34,31,GK,75,72,70,76,45,73
3501,Fahad Talib,35,34,GK,68,64,62,70,42,65
3512,Jalal Hassan,35,38,GK,71,67,65,73,45,69
3522,Ahmed Basil,35,33,GK,68,64,62,70,42,65
3601,Ørjan Nyland,36,35,GK,77,73,72,78,50,75
3612,Sander Tangvik,36,23,GK,74,71,70,75,45,72
3613,Egil Selvik,36,30,GK,73,71,69,74,43,71
3701,Juan Musso,37,34,GK,80,77,73,82,50,78
3712,Gerónimo Rulli,37,34,GK,81,78,78,82,45,79
3723,Emiliano Martínez,37,33,GK,87,84,82,88,52,86
3801,Melvin Mastil,38,26,GK,71,68,66,73,45,68
3816,Oussama Benbot,38,31,GK,70,67,64,72,42,69
3823,Luca Zidane,38,28,GK,74,70,75,75,52,70
3901,Alexander Schlager,39,30,GK,76,73,72,78,48,74
3912,Tobias Wiegele,39,27,GK,74,71,71,75,46,73
3913,Patrick Pentz,39,29,GK,75,72,75,77,52,72
4001,Yazeed Abulaila,40,33,GK,72,68,65,74,46,70
4012,Noor Bane Ataya,40,25,GK,68,65,63,71,44,66
4022,Abdallah Al-Fakhouri,40,26,GK,69,66,64,71,45,66
4101,Diogo Costa,41,26,GK,85,81,80,86,54,83
4112,José Sá,41,33,GK,80,78,74,81,44,79
4122,Rui Silva,41,31,GK,79,76,73,80,42,77
4201,Lionel Mpasi-Nzau,42,31,GK,74,70,68,75,48,71
4216,Timothy Fayulu,42,26,GK,71,68,66,73,44,68
4221,Matthieu Epolo,42,21,GK,70,66,64,74,50,66
4301,Utkir Yusupov,43,35,GK,72,68,65,73,44,70
4312,Abduvohid Nematov,43,25,GK,71,67,66,74,48,68
4316,Botirali Ergashev,43,26,GK,69,66,64,72,45,67
4401,David Ospina,44,37,GK,74,73,69,76,42,73
4412,Camilo Vargas,44,37,GK,77,75,71,79,46,76
4424,Álvaro Montero,44,31,GK,73,71,66,74,49,72
4501,Jordan Pickford,45,32,GK,82,79,88,85,45,80
4513,Dean Henderson,45,29,GK,80,77,75,82,46,78
4523,James Trafford,45,23,GK,73,71,74,76,48,70
4601,Dominik Livaković,46,31,GK,80,75,74,84,48,78
4612,Ivor Pandur,46,26,GK,72,69,67,75,41,70
4623,Dominik Kotarski,46,26,GK,76,73,75,78,44,74
4701,Lawrence Ati-Zigi,47,29,GK,77,72,73,81,50,74
4712,Joseph Anang,47,26,GK,68,65,62,70,44,66
4716,Benjamin Asare,47,31,GK,66,62,60,68,38,64
4801,Luis Mejía,48,35,GK,72,70,68,73,40,74
4812,César Samudio,48,32,GK,67,65,62,70,38,68
4822,Orlando Mosquera,48,31,GK,73,69,66,76,45,72

