id,name,confederation,fifa_ranking
1,Mexico,CONCACAF,14
2,South Africa,CAF,60
3,South Korea,AFC,25
4,Czechia,UEFA,40
5,Canada,CONCACAF,30
6,Bosnia and Herzegovina,UEFA,64
7,Qatar,AFC,56
8,Switzerland,UEFA,19
9,Brazil,CONMEBOL,6
10,Morocco,CAF,7
11,Haiti,CONCACAF,83
12,Scotland,UEFA,42
13,United States,CONCACAF,17
14,Paraguay,CONMEBOL,41
15,Australia,AFC,27
16,Türkiye,UEFA,22
17,Germany,UEFA,10
18,Curaçao,CONCACAF,82
19,Ivory Coast,CAF,33
20,Ecuador,CONMEBOL,23
21,Netherlands,UEFA,8
22,Japan,AFC,18
23,Sweden,UEFA,38
24,Tunisia,CAF,45
25,Belgium,UEFA,9
26,Egypt,CAF,29
27,Iran,AFC,20
28,New Zealand,OFC,85
29,Spain,UEFA,2
30,Cabo Verde,CAF,67
31,Saudi Arabia,AFC,61
32,Uruguay,CONMEBOL,16
33,France,UEFA,3
34,Senegal,CAF,15
35,Iraq,AFC,57
36,Norway,UEFA,31
37,Argentina,CONMEBOL,1
38,Algeria,CAF,28
39,Austria,UEFA,24
40,Jordan,AFC,63
41,Portugal,UEFA,5
42,DR Congo,CAF,46
43,Uzbekistan,AFC,50
44,Colombia,CONMEBOL,13
45,England,UEFA,4
46,Croatia,UEFA,11
47,Ghana,CAF,73
48,Panama,CONCACAF,34
